item,pais,tecnologia,categoria_energia,capacidad_mw,prediction,cluster_dbscan
LA VIÑA - Hydro,Argentina,Hydro,Renovable,16.0,0,0
LAS MADERAS - Hydro,Argentina,Hydro,Renovable,30.0,0,0
LOS CORONELES (EX 25  DE MAYO) - Hydro,Argentina,Hydro,Renovable,6.6000000000000005,0,0
LOS MOLINOS I - Hydro,Argentina,Hydro,Renovable,59.04,0,0
LOS MOLINOS II - Hydro,Argentina,Hydro,Renovable,4.5,0,0
LOS QUIROGA - Hydro,Argentina,Hydro,Renovable,2.5,0,0
LOS REYUNOS - Hydro,Argentina,Hydro,Renovable,224.0,0,0
LUJAN DE CUYO - Gas,Argentina,Gas,Fosil,549.76,2,1
MAR DE AJO - Gas,Argentina,Gas,Fosil,34.0,2,1
MAR DEL PLATA (9 DE JULIO) - Gas,Argentina,Gas,Fosil,201.3,2,1
MAYOR BURATOVICH - Wind,Argentina,Wind,Renovable,2.02,0,0
MBURUCUYA - Oil,Argentina,Oil,Fosil,1.035,2,1
MERCEDES - Oil,Argentina,Oil,Fosil,2.308,2,1
MODESTO MARANZANA - Gas,Argentina,Gas,Fosil,250.0,2,1
NECOCHEA - Coal,Argentina,Coal,Fosil,206.0,0,0
NIHUIL I - Hydro,Argentina,Hydro,Renovable,74.24,0,0
NIHUIL II - Hydro,Argentina,Hydro,Renovable,133.12,0,0
NIHUIL III - Hydro,Argentina,Hydro,Renovable,52.0,0,0
NIHUIL IV - Hydro,Argentina,Hydro,Renovable,22.4,0,0
NUEVA ESPERANZA - Oil,Argentina,Oil,Fosil,3.38,2,1
NUEVO PUERTO - Gas,Argentina,Gas,Fosil,1217.7,1,1
OBERA (TG Nº21 FIAT ) - Gas,Argentina,Gas,Fosil,17.2,2,1
ORENSE - Oil,Argentina,Oil,Fosil,1.72,2,1
PARANA - Other,Argentina,Other,Fosil,845.26,1,0
PARQUE EOLICO ARAUCO SAPEM I - Wind,Argentina,Wind,Renovable,25.2,0,0
PARQUE EOLICO ARAUCO SAPEM II - Wind,Argentina,Wind,Renovable,25.2,0,0
PARQUE EOLICO DIADEMA - Wind,Argentina,Wind,Renovable,6.3,0,0
PARQUE EOLICO EL TORDILLO - Wind,Argentina,Wind,Renovable,3.0,0,0
PARQUE EOLICO LOMA BLANCA IV (ENARSA) - Wind,Argentina,Wind,Renovable,50.0,0,0
PARQUE EOLICO RAWSON I (ENARSA) - Wind,Argentina,Wind,Renovable,48.6,0,0
PARQUE EOLICO RAWSON II (ENARSA) - Wind,Argentina,Wind,Renovable,28.8,0,0
PASO DE LOS LIBRES - Oil,Argentina,Oil,Fosil,2.135,2,1
PATAGONIA - Gas,Argentina,Gas,Fosil,123.7,2,1
PERUGORRIA - Oil,Argentina,Oil,Fosil,1.11,2,1
PICO TRUNCADO - JORGE ROMANUTTI - Wind,Argentina,Wind,Renovable,2.4,0,0
PICO TRUNCADO I - Gas,Argentina,Gas,Fosil,45.6,2,1
PIEDRA DEL AGUILA (CPSA) - Hydro,Argentina,Hydro,Renovable,1400.0,1,-1
PIEDRAS MORAS - Hydro,Argentina,Hydro,Renovable,6.3,0,0
PILAR  BICENTENARIO - Gas,Argentina,Gas,Fosil,467.0,2,1
PILAR ZANICHELLI - Coal,Argentina,Coal,Fosil,216.0,0,0
PLANICIE BANDERITA - Hydro,Argentina,Hydro,Renovable,472.0,0,0
PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1 - Solar,Argentina,Solar,Renovable,1.2,0,0
PRESIDENTE SARMIENTO - Gas,Argentina,Gas,Fosil,31.5,2,1
PUEBLO VIEJO - Hydro,Argentina,Hydro,Renovable,19.2,0,0
PUERTO MADRYN - Gas,Argentina,Gas,Fosil,42.0,2,1
PUERTO NUEVO - Coal,Argentina,Coal,Fosil,589.0,1,0
PUNTA ALTA - CENTENARIO - Wind,Argentina,Wind,Renovable,1.8,0,0
QUEBRADA DE ULLUM - Hydro,Argentina,Hydro,Renovable,45.0,0,0
RIO CORRALITO - Hydro,Argentina,Hydro,Renovable,13.2,0,0
RIO CUARTO - Gas,Argentina,Gas,Fosil,35.57,2,1
RIO GRANDE - Hydro,Argentina,Hydro,Renovable,750.0,1,0
RIO HONDO - Hydro,Argentina,Hydro,Renovable,19.0,0,0
SALTO ANDERSEN - Hydro,Argentina,Hydro,Renovable,7.9,0,0
SALTO GRANDE (MITAD ARGENTINA) - Hydro,Argentina,Hydro,Renovable,945.0,1,0
SAN FRANCISCO - Gas,Argentina,Gas,Fosil,40.0,2,1
SAN MARTIN DE LOS ANDES - Oil,Argentina,Oil,Fosil,4.218,2,1
SAN NICOLAS - Coal,Argentina,Coal,Fosil,644.0,1,0
SAN PEDRO - Oil,Argentina,Oil,Fosil,2.216,2,1
SAN ROQUE - Hydro,Argentina,Hydro,Renovable,26.0,0,0
SANTA ISABEL - Oil,Argentina,Oil,Fosil,2.25,2,1
SANTO TOME - Oil,Argentina,Oil,Fosil,2.684,2,1
SORRENTO - Coal,Argentina,Coal,Fosil,226.0,0,0
SUDOESTE - Gas,Argentina,Gas,Fosil,140.0,2,1
Saujil - Solar,Argentina,Solar,Renovable,22.5,0,0
TARTAGAL - Gas,Argentina,Gas,Fosil,17.0,2,1
TENARIS SIDERCA CETE II - Gas,Argentina,Gas,Fosil,163.20000000000002,2,1
TOSTADO - Oil,Argentina,Oil,Fosil,3.2,2,1
ULLUM - Hydro,Argentina,Hydro,Renovable,42.0,0,0
URUGUA-I - Hydro,Argentina,Hydro,Renovable,120.0,0,0
VENADO TUERTO - Oil,Argentina,Oil,Fosil,9.1,2,1
VILLA GESELL - Gas,Argentina,Gas,Fosil,130.0,2,1
VILLA MARIA (LAS PLAYAS) - Gas,Argentina,Gas,Fosil,48.0,2,1
VUELTA DE OBLIGADO - Gas,Argentina,Gas,Fosil,560.0,2,1
YACYRETA - Hydro,Argentina,Hydro,Renovable,1550.0,1,-1
Armenian-2 - Nuclear,Armenia,Nuclear,Fosil,375.0,0,0
Hrazadan - Gas,Armenia,Gas,Fosil,1110.0,1,1
New Yerevan - Gas,Armenia,Gas,Fosil,271.0,2,1
Sevan-Hrazdan Cascade - Hydro,Armenia,Hydro,Renovable,561.0,0,0
Shamb - Hydro,Armenia,Hydro,Renovable,170.0,0,0
Spandaryan - Hydro,Armenia,Hydro,Renovable,76.0,0,0
Tatev - Hydro,Armenia,Hydro,Renovable,158.0,0,0
Yerevan - Gas,Armenia,Gas,Fosil,550.0,2,1
Adelaide Showgrounds - Solar,Australia,Solar,Renovable,1.0,0,0
Albany Wind Farm - Wind,Australia,Wind,Renovable,21.6,0,0
Amcor Gawler - Oil,Australia,Oil,Fosil,4.0,2,1
Angaston - Oil,Australia,Oil,Fosil,50.0,2,1
Anglesea - Coal,Australia,Coal,Fosil,165.0,0,0
Angurugu - Oil,Australia,Oil,Fosil,3.6,2,1
Appin (Mine) - Gas,Australia,Gas,Fosil,55.6,2,1
Ararat Wind Farm - Wind,Australia,Wind,Renovable,240.0,0,0
Argyle Diamond Mine - Oil,Australia,Oil,Fosil,32.0,2,1
Bairnsdale - Gas,Australia,Gas,Fosil,94.0,2,1
Ballarat Base Hospital - Gas,Australia,Gas,Fosil,3.0,2,1
Banimboola - Hydro,Australia,Hydro,Renovable,12.85,0,0
Bankstown Sports Club - Oil,Australia,Oil,Fosil,2.0,2,1
Bannerton Solar Farm - Solar,Australia,Solar,Renovable,88.0,0,0
Barcaldine (Len Wishaw) - Gas,Australia,Gas,Fosil,37.0,2,1
Barcaldine KDB - Solar,Australia,Solar,Renovable,20.0,0,0
Barcaldine YD - Solar,Australia,Solar,Renovable,10.9,0,0
Barron Gorge - Hydro,Australia,Hydro,Renovable,60.0,0,0
Bastyan - Hydro,Australia,Hydro,Renovable,79.9,0,0
Bayswater - Coal,Australia,Coal,Fosil,2640.0,1,-1
Belconnen - Waste,Australia,Waste,Fosil,1.0,0,0
Bell Bay (Bell Bay Three) - Gas,Australia,Gas,Fosil,115.0,2,1
Bendeela (Shoalhaven Scheme) - Hydro,Australia,Hydro,Renovable,240.0,0,0
Berrimah - Gas,Australia,Gas,Fosil,10.0,2,1
Berwick - Waste,Australia,Waste,Fosil,7.2,0,0
Beryl AU - Solar,Australia,Solar,Renovable,87.0,0,0
Bidyadanga - Oil,Australia,Oil,Fosil,1.3,2,1
Blayney Wind Farm - Wind,Australia,Wind,Renovable,9.9,0,0
Blowering - Hydro,Australia,Hydro,Renovable,70.0,0,0
Blue Lake Milling Power Plant - Oil,Australia,Oil,Fosil,1.0,2,1
Bluff Point (Woolnorth) Wind Farm - Wind,Australia,Wind,Renovable,65.0,0,0
Boco Rock - Wind,Australia,Wind,Renovable,113.0,0,0
Bodangora Wind Farm - Wind,Australia,Wind,Renovable,113.0,0,0
Bogong (Mount Beauty Hydro Scheme) - Hydro,Australia,Hydro,Renovable,300.0,0,0
Braemar 1 - Gas,Australia,Gas,Fosil,504.0,2,1
Braemar 2 - Gas,Australia,Gas,Fosil,519.0,2,1
Bremer Bay Diesel Backup - Oil,Australia,Oil,Fosil,1.3,2,1
Brewer - Gas,Australia,Gas,Fosil,8.5,2,1
Brisbane BNE - Solar,Australia,Solar,Renovable,6.0,0,0
Broadmeadows - Waste,Australia,Waste,Fosil,12.2,0,0
Broadwater - Biomass,Australia,Biomass,Renovable,38.0,0,-1
Broken Hill - Gas,Australia,Gas,Fosil,50.0,2,1
Broken Hill Solar Plant - Solar,Australia,Solar,Renovable,53.0,0,0
Brooklyn - Waste,Australia,Waste,Fosil,2.83,0,0
Broome - Gas,Australia,Gas,Fosil,39.6,2,1
Brown Mountain - Hydro,Australia,Hydro,Renovable,4.95,0,0
Browns Plains - Waste,Australia,Waste,Fosil,2.2,0,0
Bulwer Island - Gas,Australia,Gas,Fosil,33.0,2,1
Bungala I - Solar,Australia,Solar,Renovable,110.0,0,0
Bungala II - Solar,Australia,Solar,Renovable,110.0,0,0
Burrendong - Hydro,Australia,Hydro,Renovable,19.0,0,0
Burrinjuck Power Station - Hydro,Australia,Hydro,Renovable,27.0,0,0
Burrup Peninsula (Karratha Gas Plant) - Gas,Australia,Gas,Fosil,240.0,2,1
Burrup Peninsula (Pluto Phase 1) - Gas,Australia,Gas,Fosil,160.0,2,1
Butlers Gorge - Hydro,Australia,Hydro,Renovable,14.4,0,0
CSIRO Energy Centre - Solar,Australia,Solar,Renovable,1.5,0,0
Callide A - Coal,Australia,Coal,Fosil,30.0,0,0
Callide B - Coal,Australia,Coal,Fosil,700.0,1,0
Callide C - Coal,Australia,Coal,Fosil,840.0,1,0
Camballin - Gas,Australia,Gas,Fosil,1.04,2,1
Canning Vale - Waste,Australia,Waste,Fosil,4.0,0,0
Cannington Mine - Gas,Australia,Gas,Fosil,40.0,2,1
Canunda Wind Farm - Wind,Australia,Wind,Renovable,46.0,0,0
Cape Bridgewater Wind Farm - Wind,Australia,Wind,Renovable,58.0,0,0
Cape Lambert - Gas,Australia,Gas,Fosil,105.0,2,1
Cape Nelson North Wind Farm - Wind,Australia,Wind,Renovable,22.0,0,0
Cape Nelson South Wind Farm - Wind,Australia,Wind,Renovable,44.0,0,0
Cape Preston - Gas,Australia,Gas,Fosil,450.0,2,1
Cape Sir William Grant Wind Farm - Wind,Australia,Wind,Renovable,54.0,0,0
Capital Hill Wind Farm - Wind,Australia,Wind,Renovable,140.0,0,0
Capral (Aluminium Smelter) - Gas,Australia,Gas,Fosil,300.0,2,1
Carnarvon - Gas,Australia,Gas,Fosil,15.0,2,1
Catagunya - Hydro,Australia,Hydro,Renovable,48.0,0,0
Cathedral Rocks Wind Farm - Wind,Australia,Wind,Renovable,66.0,0,0
Cawse Nickel Mine - Gas,Australia,Gas,Fosil,21.0,2,1
Cethana - Hydro,Australia,Hydro,Renovable,85.0,0,0
Challicum Hills Wind Farm - Wind,Australia,Wind,Renovable,52.5,0,0
Channel Island - Gas,Australia,Gas,Fosil,310.0,2,1
Charlestown Square - Gas,Australia,Gas,Fosil,2.8,2,1
Childers - Solar,Australia,Solar,Renovable,75.0,0,0
Christmas Creek Iron Ore Mine - Oil,Australia,Oil,Fosil,58.0,2,1
Clare Solar Farm - Solar,Australia,Solar,Renovable,130.0,0,0
Claytons - Waste,Australia,Waste,Fosil,11.0,0,0
Clements Gap Wind Farm - Wind,Australia,Wind,Renovable,57.0,0,0
Clermont Solar Farm - Solar,Australia,Solar,Renovable,100.0,0,0
Cloudbreak - Oil,Australia,Oil,Fosil,44.0,2,1
Clover - Hydro,Australia,Hydro,Renovable,30.0,0,0
Cluny - Hydro,Australia,Hydro,Renovable,17.0,0,0
Cockburn - Gas,Australia,Gas,Fosil,240.0,2,1
Codrington Wind Farm - Wind,Australia,Wind,Renovable,18.2,0,0
Collgar Wind Farm - Wind,Australia,Wind,Renovable,206.0,0,0
Collie (Bluewaters) - Coal,Australia,Coal,Fosil,416.0,0,0
Collie A - Coal,Australia,Coal,Fosil,340.0,0,0
Collinsville - Coal,Australia,Coal,Fosil,190.0,0,0
Collinsville Solar Farm - Solar,Australia,Solar,Renovable,42.0,0,0
Colongra - Gas,Australia,Gas,Fosil,724.0,1,1
Condamine A - Gas,Australia,Gas,Fosil,144.0,2,1
Condong Sugar Mill - Biomass,Australia,Biomass,Renovable,30.0,0,-1
Copeton - Hydro,Australia,Hydro,Renovable,24.0,0,0
Coral Bay Diesel Backup - Oil,Australia,Oil,Fosil,2.24,2,1
Corio - Waste,Australia,Waste,Fosil,1.0,0,0
Crookwell Wind Farm - Wind,Australia,Wind,Renovable,4.8,0,0
Crowlands Wind Farm - Wind,Australia,Wind,Renovable,80.0,0,0
Cullerin Range Wind Farm - Wind,Australia,Wind,Renovable,30.0,0,0
Daandine - Gas,Australia,Gas,Fosil,33.0,2,1
Dampier - Gas,Australia,Gas,Fosil,120.0,2,1
Darling Downs - Gas,Australia,Gas,Fosil,644.0,1,1
Darling Downs Solar Farm - Solar,Australia,Solar,Renovable,110.0,0,0
Darlot Gold Mine - Gas,Australia,Gas,Fosil,11.7,2,1
Dartmouth (Mount Beauty Hydro Scheme) - Hydro,Australia,Hydro,Renovable,150.0,0,0
Darwin DRW - Solar,Australia,Solar,Renovable,4.0,0,0
Daydream Solar Farm  - Solar,Australia,Solar,Renovable,50.0,0,0
DeGrussa - Solar,Australia,Solar,Renovable,10.6,0,0
Denham Diesel Backup - Oil,Australia,Oil,Fosil,1.6,2,1
Derby - Gas,Australia,Gas,Fosil,12.53,2,1
Devils Gate - Hydro,Australia,Hydro,Renovable,60.0,0,0
Diamantina - Gas,Australia,Gas,Fosil,242.0,2,1
Dry Creek - Gas,Australia,Gas,Fosil,156.0,2,1
Dubbo - Solar,Australia,Solar,Renovable,30.0,0,0
EarthPower Biomass Plant - Waste,Australia,Waste,Fosil,3.9,0,0
Eastern Creek - Waste,Australia,Waste,Fosil,5.4,0,0
Eastern Creek 2 - Waste,Australia,Waste,Fosil,8.984,0,0
Eildon - Hydro,Australia,Hydro,Renovable,120.0,0,0
Eildon Small Hydro - Hydro,Australia,Hydro,Renovable,5.0,0,0
Elliott - Oil,Australia,Oil,Fosil,1.0,2,1
Emerald Solar Farm - Solar,Australia,Solar,Renovable,68.0,0,0
Emu Downs - Solar,Australia,Solar,Renovable,20.0,0,0
Emu Downs Wind Farm - Wind,Australia,Wind,Renovable,79.2,0,0
Energy Brix - Coal,Australia,Coal,Fosil,195.0,0,0
Eraring - Oil,Australia,Oil,Fosil,41.5,2,1
Esperance - Gas,Australia,Gas,Fosil,33.0,2,1
Esperance Wind Farm Nine Mile Beach - Wind,Australia,Wind,Renovable,3.6,0,0
Esperance Wind Farm Ten Mile Lagoon - Wind,Australia,Wind,Renovable,2.03,0,0
Exmouth - Gas,Australia,Gas,Fosil,8.0,2,1
Fisher - Hydro,Australia,Hydro,Renovable,43.2,0,0
Fitzroy Crossing - Gas,Australia,Gas,Fosil,4.06,2,1
Gannawarra Solar Farm - Solar,Australia,Solar,Renovable,60.0,0,0
Geraldton - Gas,Australia,Gas,Fosil,21.0,2,1
German Creek - Gas,Australia,Gas,Fosil,45.2,2,1
Gladstone - Coal,Australia,Coal,Fosil,1680.0,1,-1
Glenbawn - Hydro,Australia,Hydro,Renovable,5.8,0,0
Glennies Creek - Gas,Australia,Gas,Fosil,13.0,2,1
Glenorchy - Waste,Australia,Waste,Fosil,1.6,0,0
Goondiwindi - Solar,Australia,Solar,Renovable,4.5,0,0
Gordon - Hydro,Australia,Hydro,Renovable,432.0,0,0
Gosnells - Waste,Australia,Waste,Fosil,1.1,0,0
Grange Avenue - Waste,Australia,Waste,Fosil,2.0,0,0
Grasmere Wind Farm (Albany Stage II) - Wind,Australia,Wind,Renovable,13.8,0,0
Greenough River Solar Farm - Solar,Australia,Solar,Renovable,10.0,0,0
Griffith Solar Farm - Solar,Australia,Solar,Renovable,36.0,0,0
Gullen - Solar,Australia,Solar,Renovable,10.0,0,0
Gullen Range Wind Farm - Wind,Australia,Wind,Renovable,165.5,0,0
Gunning - Wind,Australia,Wind,Renovable,47.0,0,0
Guthega - Hydro,Australia,Hydro,Renovable,80.0,0,0
Hallam Road - Waste,Australia,Waste,Fosil,8.984,0,0
Hallet 5 - The Bluff - Wind,Australia,Wind,Renovable,52.5,0,0
Hallett - Gas,Australia,Gas,Fosil,228.3,2,1
Hallett 1 Brown Hill Wind Farm - Wind,Australia,Wind,Renovable,94.5,0,0
Hallett 2 Hallet Hill Wind Farm - Wind,Australia,Wind,Renovable,71.4,0,0
Halls Creek - Gas,Australia,Gas,Fosil,3.69,2,1
Hamilton Solar Farm - Solar,Australia,Solar,Renovable,69.0,0,0
Haughton River Solar Farm - Solar,Australia,Solar,Renovable,500.0,0,0
Hayman Solar Farm - Solar,Australia,Solar,Renovable,180.0,0,0
Hazelwood - Coal,Australia,Coal,Fosil,1600.0,1,-1
